Category,Text,Personal Information,Account and Transaction Details,Permission Words
Account Verification,"The most recent deposit was made on the 3rd of November.",0,1,0
Account Verification,"Your next payment will be due on the 15th of December.",0,1,0
Account Verification,"The payment reference number for your last transaction is 567890.",0,1,0
Account Verification,"The status of your credit application is currently under review.",0,1,0
Account Verification,"The payment plan for your account is divided into three installments.",0,1,0
Account Verification,"The renewal fee for your account is $25.00.",0,1,0
Account Verification,"The payment was declined due to insufficient funds.",0,1,0
Account Verification,"Your total outstanding balance on the account is $220.00.",0,1,0
Account Verification,"The order was shipped via UPS and is scheduled to arrive in 3 days.",0,1,0
Account Verification,"The transaction was successfully completed with a receipt number of 400312.",0,1,0
Account Verification,"The invoice for the service was sent to your email address.",0,1,0
Account Verification,"Your latest account statement shows a total of $180.00 in charges.",0,1,0
Account Verification,"Your most recent payment was applied on the 10th of November.",0,1,0
Account Verification,"The pending transaction on your account is set to be processed tomorrow.",0,1,0
Account Verification,"Your order was processed using a Visa credit card ending in 3456.",0,1,0
Account Verification,"Your purchase was marked as completed on the 9th of November.",0,1,0
Account Verification,"Your account is eligible for a discount of 15% on the next purchase.",0,1,0
Account Verification,"Your account balance shows an outstanding amount of $65.40.",0,1,0
Account Verification,"The transaction you made on the 22nd of October was for $92.15.",0,1,0
Account Verification,"The current credit on your account is $310.50.",0,1,0
Account Verification,"Your last payment of $45.60 was processed successfully.",0,1,0
Account Verification,"Your purchase order number is 8901234567, and it's currently being processed.",0,1,0
Account Verification,"The payment for your last service subscription was received on the 10th of November.",0,1,0
Account Verification,"The total amount due on your account is $152.30, which is due by the end of the month.",0,1,0
Account Verification,"You were charged a late fee of $10.00 for the past due amount.",0,1,0
Account Verification,"Your refund request has been approved and will be processed within 5 business days.",0,1,0
Account Verification,"Your recent payment of $128.00 was made via credit card ending in 3456.",0,1,0
Account Verification,"The shipping charges of $15.50 were added to your order total.",0,1,0
Account Verification,"A payment of $60.00 was refunded to your original method of payment on November 5th.",0,1,0
Account Verification,"Your subscription was renewed for a total of $180.00.",0,1,0
Account Verification,"The balance remaining on your account is $78.90 after the last payment.",0,1,0
Account Verification,"Your recent purchase included an upgrade fee of $40.00.",0,1,0
Account Verification,"The last transaction on your account was a purchase of $39.99 on the 3rd of November.",0,1,0
Account Verification,"A $50.00 charge has been applied for premium services this month.",0,1,0
Account Verification,"The payment history for your account indicates the last transaction was on the 9th of October.",0,1,0
Account Verification,"Your account's credit limit has been updated to $1,000.00.",0,1,0
Account Verification,"The payment made for your service plan renewal was $85.00.",0,1,0
Account Verification,"The invoice number for the recent transaction is 1122334455.",0,1,0
Account Verification,"A charge of $100.00 was applied for a yearly subscription renewal.",0,1,0
Account Verification,"The total refund of $55.00 will be credited to your account within 7 business days.",0,1,0
Account Verification,"Your order was processed under the confirmation number 7891011.",0,1,0
Account Verification,"The refund of $22.00 was issued to your credit card ending in 9876.",0,1,0
Account Verification,"Your recent payment of $65.00 has been applied to your outstanding balance.",0,1,0
Account Verification,"The current balance on your card is $250.00.",0,1,0
Account Verification,"Your account history reflects the most recent transaction as a payment of $150.00.",0,1,0
Account Verification,"The shipping address on file is 456 Maple Ave, Springfield, IL.",0,1,0
Account Verification,"A charge of $25.00 for shipping was added to your order on the 4th of November.",0,1,0
Account Verification,"The system has generated an invoice for your purchase with a total of $59.99.",0,1,0
Account Verification,"The total amount of your order is $112.75, which is due by the 15th of December.",0,1,0
Account Verification,"A refund of $32.00 was issued for the returned product.",0,1,0
Account Verification,"Your account shows a credit of $200.00 after the adjustment from your last payment.",0,1,0
Account Verification,"The payment of $12.50 was successfully charged to your Visa card.",0,1,0
Account Verification,"The transaction for the $50 gift card was successfully completed on the 10th of November.",0,1,0
Account Verification,"Your last payment was confirmed as received on November 4th for the amount of $99.00.",0,1,0
Account Verification,"The outstanding charge on your account for the service is $220.00.",0,1,0
Account Verification,"The payment for your subscription was successfully processed on the 25th of October.",0,1,0
Account Verification,"The total refund amount of $150.00 will be credited to your PayPal account.",0,1,0
Account Verification,"Your most recent invoice was for $215.00, which is now due for payment.",0,1,0
Account Verification,"Your account was credited with $150.00 for the product return.",0,1,0
Account Verification,"A payment of $50.00 was made toward your outstanding balance on the 6th of November.",0,1,0
Account Verification,"Your payment of $200 was successfully processed for the service renewal.",0,1,0
Account Verification,"The total charge for your recent purchase was $95.75.",0,1,0
Account Verification,"An invoice with number 987654321 was generated for your recent transaction.",0,1,0
Account Verification,"Your recent transaction included a discount of $10.00, reducing the total to $89.99.",0,1,0
Account Verification,"The last payment of $59.45 has been successfully deducted from your account balance.",0,1,0
Account Verification,"A $20.00 charge was applied for the express delivery option on your order.",0,1,0
Account Verification,"Your outstanding balance on the account is currently $123.67.",0,1,0
Account Verification,"The invoice for your subscription renewal, totaling $120.00, was generated on the 1st of November.",0,1,0
Account Verification,"Your last purchase included a $30.00 surcharge for premium packaging.",0,1,0
Account Verification,"The transaction of $150.00 was applied to your account for the membership upgrade.",0,1,0
Account Verification,"Your account reflects a credit of $50.00, following the refund for your returned items.",0,1,0
Account Verification,"The total bill for the latest services provided was $45.00.",0,1,0
Account Verification,"Your account was charged $75.00 for the monthly subscription service.",0,1,0
Account Verification,"The payment made on the 10th of November was for $185.25.",0,1,0
Account Verification,"The amount of $35.00 has been refunded to your account for the returned product.",0,1,0
Account Verification,"An adjustment of $10.50 has been made to your account following the overcharge last month.",0,1,0
Account Verification,"Your order confirmation number is 1029384756, and the total is $250.00.",0,1,0
Account Verification,"The amount due for your subscription renewal is $99.99, which is due by the 30th of November.",0,1,0
Account Verification,"A $60.00 charge was processed for your order of new equipment.",0,1,0
Account Verification,"The transaction summary for your account shows a total of $450.00 charged for the previous quarter.",0,1,0
Account Verification,"Your payment of $120.00 for the new service was successfully completed on November 8th.",0,1,0
Account Verification,"The final charge for your product is $89.99, which includes the standard delivery fee.",0,1,0
Account Verification,"The purchase order for your new device has been processed with a total of $330.00.",0,1,0
Account Verification,"Your account balance of $540.00 includes all charges from the previous billing cycle.",0,1,0
Account Verification,"The system has recorded a refund of $22.50 for your canceled service plan.",0,1,0
Account Verification,"An additional fee of $5.00 was added for expedited processing on your order.",0,1,0
Account Verification,"The total amount of your order, including shipping, is $104.99.",0,1,0
Account Verification,"Your transaction history shows a recent payment of $79.00 for service fees.",0,1,0
Account Verification,"The charge for your new subscription plan, $210.00, has been successfully applied.",0,1,0
Account Verification,"Your recent payment of $132.50 was applied to the remaining balance on your account.",0,1,0
Account Verification,"The total amount of $50.00 was deducted for your membership renewal.",0,1,0
Account Verification,"A total charge of $88.00 has been billed for the product upgrade and its installation.",0,1,0
Account Verification,"Your recent payment of $295.00 was made using a credit card ending in 1234.",0,1,0
Account Verification,"The system has successfully processed a refund of $120.00 to your original payment method.",0,1,0
Account Verification,"A service charge of $10.00 was added to your account for the extended warranty option.",0,1,0
Account Verification,"Your balance due is $145.00 after the most recent payment of $50.00.",0,1,0
Account Verification,"Your payment of $70.00 for this month was applied to your service plan.",0,1,0
Account Verification,"The order has been shipped, and the final total is $180.00, including taxes and delivery fees.",0,1,0
Account Verification,"The total fee for your recent account upgrade is $40.00.",0,1,0
Account Verification,"A payment of $52.00 was successfully deducted from your account on the 15th of November.",0,1,0
Account Verification,"Your last payment, which was for $68.25, was credited on your account on November 3rd.",0,1,0
Account Verification,"Your account shows a total of $60.00 in charges for the services provided last month.",0,1,0
Account Verification,"A payment of $300.00 was made towards your balance on November 12th.",0,1,0
Account Verification,"Your recent purchase totals $225.00, which has been applied to your account.",0,1,0
Account Verification,"The system reflects a $100.00 credit issued for your canceled service.",0,1,0
Account Verification,"Your order number 1122334455 was processed with a total of $65.00.",0,1,0
Account Verification,"The charge of $22.00 has been applied to your account for express shipping.",0,1,0
Account Verification,"Your account history shows a credit adjustment of $15.00 due to a billing error.",0,1,0
Account Verification,"A $60.00 refund was processed back to your card ending in 5678 on November 2nd.",0,1,0
Account Verification,"Can I verify your payment of $200.00 that was processed earlier this week?",0,1,1
Account Verification,"Please confirm the charge of $145.00 applied to your account for the latest transaction.",0,1,1
Account Verification,"May I confirm that your payment of $85.50 has been successfully credited?",0,1,1
Account Verification,"Could you please confirm that the amount due on your account is $122.75?",0,1,1
Account Verification,"Can I ask if you have received the invoice number 987654321 for your recent purchase?",0,1,1
Account Verification,"Would you mind confirming the total charge of $190.00 for your last order?",0,1,1
Account Verification,"Can I verify if your payment for $75.00 has been processed on your account?",0,1,1
Account Verification,"May I confirm that your balance due is $55.60 as of today?",0,1,1
Account Verification,"Could you please verify the payment of $300.00 made on your account this month?",0,1,1
Account Verification,"Would you mind confirming the refund of $50.00 issued to your account last week?",0,1,1
Account Verification,"Can I check if the $40.00 charge for the service fee has been applied to your account?",0,1,1
Account Verification,"Please let me know if the $99.00 transaction for the subscription plan was deducted from your account.",0,1,1
Account Verification,"Could you confirm the refund of $30.00 for the canceled order on your card?",0,1,1
Account Verification,"Can I check if the payment of $120.00 for your recent purchase was successfully processed?",0,1,1
Account Verification,"Would you kindly confirm if the additional $10.00 fee for expedited delivery was charged?",0,1,1
Account Verification,"Can I verify the details of the $180.00 transaction for the product purchase?",0,1,1
Account Verification,"Please confirm that your recent payment of $225.00 was applied to the correct account.",0,1,1
Account Verification,"May I ask if the charge of $200.00 for the annual service renewal has been billed correctly?",0,1,1
Account Verification,"Can I verify if the $60.00 fee for the service upgrade has been charged to your account?",0,1,1
Account Verification,"Could you please confirm the $500.00 payment made on your account for the upgrade?",0,1,1
Account Verification,"Please let me know if the refund of $75.00 was successfully credited to your account.",0,1,1
Account Verification,"Can I confirm the $140.00 payment made on your subscription renewal?",0,1,1
Account Verification,"Could you confirm if the total balance due on your account is $85.00?",0,1,1
Account Verification,"Would you mind verifying if your recent charge for $120.00 has been processed?",0,1,1
Account Verification,"Can I check if the payment of $170.00 for the equipment purchase went through?",0,1,1
Account Verification,"May I confirm the total charge of $320.00 for your account's renewal and upgrade?",0,1,1
Account Verification,"Can you confirm the charge of $99.99 for your subscription plan?",0,1,1
Account Verification,"Please verify the charge of $65.00 that was applied for your premium support plan.",0,1,1
Account Verification,"Could you kindly confirm if the refund for your canceled subscription, amounting to $110.00, was issued?",0,1,1
Account Verification,"Can I check if the charge for $75.00 for the new service has been successfully applied?",0,1,1
Account Verification,"Would you mind confirming that the $15.00 discount was applied to your total bill?",0,1,1
Account Verification,"Please confirm if the transaction amount of $90.00 was successfully applied to your account.",0,1,1
Account Verification,"Can I verify the payment for the $135.00 charge that was applied to your account?",0,1,1
Account Verification,"Would you mind confirming that the $40.00 surcharge for expedited shipping has been billed?",0,1,1
Account Verification,"Please let me know if the refund of $60.00 has been credited to your payment method.",0,1,1
Account Verification,"Can I check if your last payment of $250.00 was successfully processed?",0,1,1
Account Verification,"Could you kindly verify that the charge for $110.00 has been removed from your account?",0,1,1
Account Verification,"Please confirm that the $50.00 adjustment was made to your account for the service issue.",0,1,1
Account Verification,"Can I confirm if the $45.00 fee for the product return was deducted from your account?",0,1,1
Account Verification,"Would you mind verifying if the payment of $120.00 for your recent service upgrade has been successfully processed?",0,1,1
Account Verification,"Can I check if the $99.99 monthly charge for your subscription has been applied to your account?",0,1,1
Account Verification,"Can I have your full name to verify the account?",1,0,1
Account Verification,"May I ask for your phone number to pull up your account?",1,0,1
Account Verification,"Could you provide your email address for confirmation?",1,0,1
Account Verification,"Please share your address so I can verify your information in the system.",1,0,1
Account Verification,"Would you mind confirming your date of birth for security purposes?",1,0,1
Account Verification,"Can I have your home address to ensure it's up to date in our records?",1,0,1
Account Verification,"Could you kindly provide your last name to help me find your account?",1,0,1
Account Verification,"Please tell me the name on the account so I can verify your details.",1,0,1
Account Verification,"May I ask for your contact number to verify your account?",1,0,1
Account Verification,"Can you confirm your full name for verification?",1,0,1
Account Verification,"Could you share your date of birth so I can proceed with the verification?",1,0,1
Account Verification,"Please provide your first name so I can ensure I have the correct account.",1,0,1
Account Verification,"Would you be able to confirm the billing address associated with your account?",1,0,1
Account Verification,"Can I verify your contact email address for security purposes?",1,0,1
Account Verification,"May I request your full name for further processing of your account?",1,0,1
Account Verification,"Please confirm the last four digits of your Social Security number for verification.",1,0,1
Account Verification,"Can I have your contact number so we can proceed with the account check?",1,0,1
Account Verification,"Could you please provide your first and last name for verification?",1,0,1
Account Verification,"Would you kindly share your address to verify your account details?",1,0,1
Account Verification,"Please provide the name associated with the account to help me retrieve the data.",1,0,1
Account Verification,"May I ask you to confirm your email address for account verification?",1,0,1
Account Verification,"Can I have your full name so I can locate your account?",1,0,1
Account Verification,"Please tell me your phone number for verification purposes.",1,0,1
Account Verification,"Could you confirm your mailing address for our records?",1,0,1
Account Verification,"May I have your date of birth to confirm your identity?",1,0,1
Account Verification,"Please provide your full name so I can check your account information.",1,0,1
Account Verification,"Would you be able to confirm your address for verification?",1,0,1
Account Verification,"Can I have your contact details so I can verify the account?",1,0,1
Account Verification,"Please confirm the name on the account to ensure everything is accurate.",1,0,1
Account Verification,"Can you share your email address to confirm your identity?",1,0,1
Account Verification,"Could you confirm your date of birth so I can proceed with the verification?",1,0,1
Account Verification,"Would you mind sharing the name associated with the account?",1,0,1
Account Verification,"Please provide your address so I can verify the account details.",1,0,1
Account Verification,"Can I have your full name to begin the verification process?",1,0,1
Account Verification,"Your full name is required to verify your identity.",1,0,0
Account Verification,"I need to confirm your contact number for our records.",1,0,0
Account Verification,"Please provide your date of birth to continue the verification process.",1,0,0
Account Verification,"The registered address on your account needs to be verified.",1,0,0
Account Verification,"Confirming the name associated with your account is necessary for validation.",1,0,0
Account Verification,"Your email address will be used for verification purposes.",1,0,0
Account Verification,"We need to check the phone number registered to your account.",1,0,0
Account Verification,"Please give us your date of birth to match our records.",1,0,0
Account Verification,"Your full name is needed to proceed with account verification.",1,0,0
Account Verification,"To verify your identity, I will need your address details.",1,0,0
Account Verification,"The email associated with your account needs to be confirmed.",1,0,0
Account Verification,"Your phone number needs to be checked for account security.",1,0,0
Account Verification,"The address on file with your account needs to be confirmed.",1,0,0
Account Verification,"Your date of birth is required to complete the verification.",1,0,0
Account Verification,"We need your full name for the purpose of verifying your account.",1,0,0
Account Verification,"The email address provided during sign-up must be validated.",1,0,0
Account Verification,"I need to confirm the phone number tied to your account for security.",1,0,0
Account Verification,"Your contact number is essential for the verification of your account.",1,0,0
Account Verification,"I need your full name to ensure we are matching the correct records.",1,0,0
Account Verification,"Confirming your address details is necessary for account validation.",1,0,0
Account Verification,"Please provide the name registered with your account for identity check.",1,0,0
Account Verification,"I need your email to confirm your account details.",1,0,0
Account Verification,"Your phone number must be matched with our records for security purposes.",1,0,0
Account Verification,"We need to verify your address to proceed with account confirmation.",1,0,0
Account Verification,"The registered name on your account is required for security verification.",1,0,0
Account Verification,"Your date of birth must be validated to ensure security in the process.",1,0,0
Account Verification,"I need your phone number for verifying account details.",1,0,0
Account Verification,"Your email address is necessary to proceed with account verification.",1,0,0
Account Verification,"We must check the name associated with your account for security purposes.",1,0,0