Category,Text,Identify the specific issue or concern,Clarify the problem with probing questions,Acknowledge customer’s frustration or emotions
"Problem Investigation","Let me check your account to see what really happened.",1,0,0
"Problem Investigation","I'll see what I can do Mr. Breed.",0,0,0
"Problem Investigation","As I have checked you were charged some fees because you were not able to pay on time so that means we really cannot do anything about it anymore.",1,0,0
"Problem Investigation","Let me check your account to see what really happened.",1,0,0
"Problem Investigation","As I have checked, the account was charged some fees because there was no payment made before the cut off time of 4 p.m.",1,0,0
"Problem Investigation","May I know what error message you got?",1,1,0
"Problem Investigation","You mentioned you were trying to log in.",0,1,0
"Problem Investigation","When you logged into shapes rewards website, can you please tell me what happened after?",1,1,0
"Problem Investigation","Alright this what actually happened.",0,0,0
"Problem Investigation","When you clicked log in and the screen or the page goes back to the exact same page after loading that means that the page is looping.",1,0,0
"Problem Investigation","However, your browser has an issue.",0,0,0
"Problem Investigation","Looping is when the browser page goes back to the same page again and again even though you've already taken action.",0,0,0
"Problem Investigation","Just like in your case, you've clicked log in but it doesn't go to your profile on Shapes Rewards, right?",1,0,0
"Problem Investigation","It just keeps going back to the login page but don't worry you've got the right person on the line to help you.",0,0,1
"Problem Investigation","We just need to do quick troubleshooting on your browser.",0,0,0
"Problem Investigation","Are you using Mac or PC?",0,1,0
"Problem Investigation","May I know what browser you're using?",0,1,0
"Problem Investigation","Is it Google Chrome or Firefox?",0,1,0
"Problem Investigation","May I know the chrome version?",0,1,0
"Problem Investigation","Let me check your transactions for you real quick.",1,0,0
"Problem Investigation","I see that the last transaction made was using your debit card at Target for 179 54, 179 dollars and 54 cents.",1,0,0
"Problem Investigation","Yes, This just posted today.",0,0,0
"Problem Investigation","Is this valid?",0,0,0
"Problem Investigation","I'll be happy to check that for you.",0,0,1
"Problem Investigation","How many of your friends are staying?",0,1,0
"Problem Investigation","Do you prefer to stay in one room or separate rooms?",0,1,0
"Problem Investigation","Alright, let me check if you have an available room for what days?",0,1,0
"Problem Investigation","Are you going to reserve today?",0,1,0
"Problem Investigation","Okay, according to our systems data you did pay your last bill last October 20, which was two days ago in one of our affiliated payment centers.",1,0,0
"Problem Investigation","Unfortunately when you pay through that affiliated center, it takes about 2 to 3 business days more to complete the payment processing.",0,0,0
"Problem Investigation","So that means that the system considered the payment as still pending and not completed yet.",1,0,0
"Problem Investigation","So the connection has been cut off, but.",0,0,0
"Problem Investigation","So we are well aware that you have been a valued customer of deluxe for 8 years now.",0,0,1
"Problem Investigation","Shows here that you don't have a DSL signal, that's why.you cannot connect",1,0,0
"Problem Investigation","We can actually fix this over the phone and I'd be glad to walk you through.",0,0,1
"Problem Investigation","Would that be fine?",0,1,0
"Problem Investigation","Let me ask, can you please check your modem now and tell me which lights are on?",0,1,0
"Problem Investigation","Alright, clearly, there is something wrong with your signal which is highly likely connected to your cell phone service.",1,0,0
"Problem Investigation","So, may I know what your question is?",0,1,0
"Problem Investigation","I understand sometimes looking at your bill can be quite confusing. So, let me check your account and let's go through this together ok?",0,1,1
"Problem Investigation","By the way do you have a copy of your bill right now?",0,1,0
"Problem Investigation","Let's go over your bill together and see the difference.",0,1,0
"Problem Investigation","Upon checking your account., yes, you're right.",0,0,1
"Problem Investigation","The bill last month was $25 however this billing period there is an additional charge of 10 dollars for a data usage that totals to 3 gigs.",1,0,0
"Problem Investigation","Can you please tell me more about the mail you received?",1,1,0
"Problem Investigation","I will be happy to check your account so that I can help you better.",0,0,1
"Problem Investigation","Let me check your account real quick, ok?",0,0,0
"Problem Investigation","I've been checking here Peter, it shows that a claim for $1000 was paid last week that was August 12 and that it says that it actually covers your entire bill.",1,0,0
"Problem Investigation","So, just to confirm your order is a bouquet of red and white roses that's going to be $45.",1,0,0
Problem Investigation,"So, just to confirm your order is a bouquet of red and white roses that's going to be $46",0,0,0
Problem Investigation,"Thank you, just a minute sir,  I'll just look at our data.",0,0,0
Problem Investigation,"According to our system's data, that you did pay your last bill, last February 5 which was 2 days ago in one of our affiliated payment centers.",0,0,0
Problem Investigation,"Unfortunately sir, when you pay through that affiliated center, it takes about three to five business days more to complete the payment processing so that means that the system conceded the payment as still pending and not completed yet.",1,0,0
Problem Investigation,"So, the connection has been cut off. But.",1,0,0
Problem Investigation,"What product are you interested in purchasing?",0,1,0
Problem Investigation,"A dozen of red roses, do you want long stems?",0,1,0
Problem Investigation,"Thank you Mr. Jeremy and did you want the invoice made out in your name or your company name?",0,1,0
Problem Investigation,"Great, now 217 spotlights are available in 35 watts or 55 watts, which one do you want?",0,1,0
Problem Investigation,"All right and do you know what colour temperature you want for the vaults?",0,1,0
Problem Investigation,"Okay, Thank you, now, for the postage, we have registered post or express post. Which one are you interested in?",0,1,0
Problem Investigation,"It seems that you are referring to Meets Attack 500x5, am i right?",0,1,0
Problem Investigation,"Cool, based on the information here yeah, it already passed the estimated delivery date.",1,0,0
Problem Investigation,"Max, when you place your first order, Rex Global contacts your issuing bank to confirm the validity of the payment method.",0,0,0
Problem Investigation,"It is not an actual charge but a one dollar authorisation hold.",0,0,0
Problem Investigation,"One second, let me check the details for a while.",0,0,0
Problem Investigation,"Based on the information, here it was delivered and received.",0,0,0
Problem Investigation,"Hmm, based on the record here, it seems that the parcel was delivered to the wrong address.",1,0,0
Problem Investigation,"Give me one moment please so I can pull up your account.",0,0,0
Problem Investigation,"Okay, I got your order here and it was for a convection oven for 129. Is this correct?",0,1,0
Problem Investigation,"I know that our shipping department tries to their best to keep the orders as accurate as possible but on very rare occasions this kind of mistake happens from time to time.",1,0,1
Problem Investigation,"Of course, this is not an excuse and a mistake is a mistake.",0,0,1
Problem Investigation,"It was for the month of July this year, right?",0,1,0
Problem Investigation,"Okay, I have your account pulled up now and I'm only seeing a 30 charge for the month of July this year.",1,0,0
Problem Investigation,"Could you recheck your bill and review the amount?",1,1,0
Problem Investigation,"I also checked your other month's charges this year from January to July 2020 and all of these months, you were only charged 30.",0,0,0
Problem Investigation,"Let me just check further though your last year.",0,0,0
Problem Investigation,"Oh, although I am seeing a 33 dollar charge here but this was way back last year on July 2019.",0,0,0
Problem Investigation,"Would you mind checking the year of the billing paper you're holding right now?",0,1,0
Problem Investigation,"Do you still have the return tracking from the courier company when you returned the item?",0,1,0
Problem Investigation,"That's actually the return authorization from Coats and Gowns.",0,0,0
Problem Investigation,"When you returned the item to the courier company for shipping, this should have provided you with the return tracking.",0,0,0
Problem Investigation,"Do you still have that?",0,1,0
Problem Investigation,"It's actually printed in the upper right part of the receipt.",0,0,0
Problem Investigation,"Anyway, I tried to search for your name and nothing is coming up.",0,0,0
Problem Investigation,"Now I just want to make sure that I have the correct details.",0,0,0
Problem Investigation,"I will check on the details here on my end.",0,0,0
Problem Investigation,"Now I can actually see here that you have called the quality informers that you'd like to return the item on the 15th of November.",0,1,0
Problem Investigation,"Is that correct?",0,1,0
Problem Investigation,"Yes, now did you return the item to company in the same day that you called?",0,1,0
Problem Investigation,"So, you already checked your account and nothing has been credited yet in the card ending in 753. Is that right?",1,1,0
Problem Investigation,"Thanks John, I located your information the newest version we have available for your vehicle is version 7.7 which was released in March of 2012.",0,0,0
Problem Investigation,"The price of the new map is $99 plus shipping and taxes.",0,0,0
Problem Investigation,"Uhm, I see you've purchased your phone four days ago without mail delivery insurance.",1,0,0
Problem Investigation,"And, policy states without mail delivery insurance, we can't issue you a replacement.",0,0,1
Problem Investigation,"Well, according to your account, you are not paying for standard premium or ultra premium insurance.",1,0,0
Problem Investigation,"So no, it's policy.",0,0,1
Problem Investigation,"Your account requires immediate action.",1,0,0
Problem Investigation,"I have an important information about your Grey Home medical account.",1,0,0
Problem Investigation,"Our records indicate that your account with greyhound medical is past due with a balance of 69.33.",1,0,0
Problem Investigation,"Let me quickly check the status of your order.",0,1,0
Problem Investigation,"As I've checked on the tracking information, the dispatch time is 8.45 am and our driver is just five minutes away from your place.",0,0,1
Problem Investigation,"Again, I apologize for the delay Miss Williams and I would like to thank you for your patience as a valued customer of red plate.",0,0,1
Problem Investigation,"So, let me take your order.",0,0,0
Problem Investigation,"What products are you interested in ordering?",0,1,0
Problem Investigation,"One dozen of white roses.",1,0,0
Problem Investigation,"Do you want long stems?",0,1,0
Problem Investigation,"Would you like to add a pack of Fran's chocolates?",0,0,0
Problem Investigation,"Since you mentioned that you're in hospital right now and you need to get in touch with your son immediately, I'll make sure that I won't let you go unless and until all your services is up and running.",0,0,1
Problem Investigation,"And, just in case that we need to do some troubleshooting steps, do you have any alternate number that I can use?",0,1,0
Problem Investigation,"Alright, so as I looked into your account, I've seen that you're in a forty dollar plan that gives you four gigs of data with unlimited calls and text.",0,0,0
Problem Investigation,"And your plan will not expire until the 14th of October.",0,0,0
Problem Investigation,"You've mentioned earlier that you don't have a service right.",1,0,0
Problem Investigation,"So which of your services is not working?",1,1,0
Problem Investigation,"Alright how about sending and receiving messages?",0,1,0
Problem Investigation,"Do you have any problems with those?",0,1,0
Problem Investigation,"What about your internet?",0,1,0
Problem Investigation,"I just really want to make sure that you don't have any problems with those.",0,0,1
Problem Investigation,"And, now we just really need to focus on your phone calls.",0,0,0
Problem Investigation,"So, let me ask you this have you tried doing any basic troubleshooting before you called?",0,1,0
Problem Investigation,"Like turning off your phone and turning it back?",0,1,0
Problem Investigation,"When was the last time that you were able to make a phone call?",0,1,0
Problem Investigation,"Okay, is this happening to all of the phone numbers that you're trying to call in?",0,1,0
Problem Investigation,"Is this happening in all locations or just one specific location?",0,1,0
Problem Investigation,"So right now, can you tell me if your wi-fi is on or off?",0,1,0
Problem Investigation,"What about your airplane mode?",0,1,0
Problem Investigation,"Is it on or off?",0,1,0
Problem Investigation,"What about your mobile data?",0,1,0
Problem Investigation,"It's the same one and also let me check the coverage in your area.",0,0,0
Problem Investigation,"Are you in Lancaster PA right now?",0,1,0
Problem Investigation,"What's your zip code?",0,1,0
Problem Investigation,"Okay, Alright, as I checked, we don't have any problems with the coverage in your area.",0,0,0
Problem Investigation,"It's 4G and no current outages too.",0,0,0
Problem Investigation,"Let me go and check what's the problem and let's fix it together.",0,0,1
Problem Investigation,"Thank you and just to clarify when you said that the printer is not working, do you mean it's not turning on or do you see any error message or you can't print from your computer?",0,1,0
Problem Investigation,"Alright, do you have a windows computer or a mac?",0,1,0
Problem Investigation,"It's uh connected wirelessly or usb cable?",0,1,0
Problem Investigation,"To make sure that this is not a printer problem, we will try to do a copy test.",0,0,0
Problem Investigation,"So, you have to photocopy any documents and make sure it's coloured and if output is perfect that means that the printer is good.",0,0,0
Problem Investigation,"That means there's no problem on your printer.",0,0,0
Problem Investigation,"Okay, I understand that you need assistance on how to clear the browsing history on your browser and I know that this is very important for you to be addressed.",0,0,1
Problem Investigation,"So let me go ahead and assist you now on how we can clear the browsing history.",0,0,0
Problem Investigation,"Okay but I need to understand what browser browser are you using on your computer.",0,1,0
Problem Investigation,"Is the browser that you're using Internet Explorer or Google Chrome?",0,1,0
Problem Investigation,"Internet Explorer actually looks like a blue letter e icon and about Google Chrome it's a round icon away the red, green and yellow colours inside.",0,0,0
Problem Investigation,"That's the one you're using.",0,1,0
Problem Investigation,"So, for us to get started in troubleshooting your browser, please make sure that your Google Chrome or browser is open now on your computer.",0,1,0
Problem Investigation,"Okay so now that it's done, would you like us to test the resolution?",0,1,0
Problem Investigation,"Let's see if you can, if you will be able to pull up the websites now with no problem at all.",0,1,0
Problem Investigation,"Is it working now?",0,0,0
Problem Investigation,"We have several rooms available for that particular weekend and what is the exact date of your arrival?",0,1,0
Problem Investigation,"How long will you be staying?",0,1,0
Problem Investigation,"And, how many people in the reservation?",0,1,0
Problem Investigation,"And, what kind of room you like?",0,1,0
Problem Investigation,"Do you like a twin bed or a double bed?",0,1,0
Problem Investigation,"Great, and, would you prefer to have a room with a view of the ocean?",0,1,0
Problem Investigation,"The rate of that room is 590 dollars per night.",0,0,0
Problem Investigation,"May I know which date you would like to make your reservation?",0,1,0
Problem Investigation,"Yes, we have several rooms available for those particular days.",0,0,0
Problem Investigation,"May I know what type of room is Ms. Hernani you would like to stay?",0,1,0
Problem Investigation,"I'm sorry to inform you Ms. Hernani but all our premier rooms have been booked on the 25th of April.",0,0,1
Problem Investigation,"Now, as for the room Ms. Hernani, do you prefer smoking or non-smoking?",0,1,0
Problem Investigation,"Now is a queen-size bed okay?",0,1,0
Problem Investigation,"Would you prefer to have a room with a view of Taal Lake?",0,1,0
Problem Investigation,"Okay Ms. Hernani. How will the bill be settled?",0,1,0
Problem Investigation,"What type of card is it?",0,1,0
Problem Investigation,"And, what is the name of the cardholder?",0,1,0
Problem Investigation,"Alright John, are you a patient of ours?",0,1,0
Problem Investigation,"Great, who is your doctor?",0,1,0
Problem Investigation,"Okay, so, you'll need to have your pharmacy facts over a prescription refill request.",0,0,0
Problem Investigation,"Do you have a pen to write our fax number down?",0,1,0
Problem Investigation,"And what is the name of the medication you're looking to get refilled?",0,1,0
Problem Investigation,"Now, could you tell me what the problem is?",0,1,0
Problem Investigation,"Ok, sir, just to rule out this possibility, may I ask you if other devices are working properly in that outlet?",0,1,0
Problem Investigation,"Well, could you please remove the battery and the reconnect it one more time?",0,1,0
Problem Investigation,"And I appreciate if you can connect it into another outlet.",0,1,0
Problem Investigation,"I understand that it is very frustrating and to work out on your problem about the abrupt disconnection, is that right sir?",0,0,1
Problem Investigation,"Thank you, just a minute sir, I'll just look at our data.",0,1,0
Problem Investigation,"According to our system's data, that you did pay your last bill, last February 5 which was 2 days ago in one of our affiliated payment centers.",0,1,0
Problem Investigation,"Unfortunately sir, when you pay through that affiliated center, it takes about three to five business days more to complete the payment processing so that means that the system conceded the payment as still pending and not completed yet.",0,0,1
Problem Investigation,"So, the connection has been cut off. But.",0,0,0
Problem Investigation,"And here in our system you did paid before which was 2 days ago but our affiliated beam in centers and you currently have a zero balance.",0,0,0
Problem Investigation,"However the bill you receive was granted a week ago before you made the payment that's why your latest payment has not been reflected. But you can simply disregard the amount indicated in the bill and continue enjoying our services.",0,0,1
Problem Investigation,"What products are you interested in ordering?",0,1,0
Problem Investigation,"One dozen of white roses do you want long stems?",0,1,0
Problem Investigation,"And what kind of phone is it because I see you have 2 accounts here I don't know which one it is?",0,1,0
Problem Investigation,"Do you have the IMEI number for that?",0,1,0
Problem Investigation,"Ok it says here that the phone is unlocked.",0,0,0
Problem Investigation,"Great! How can I help you today John?",0,1,0
Problem Investigation,"I hear you! I understand that the bill went up suddenly lets check that and see what really happened on your account.",0,1,0
Problem Investigation,"We'd be happy to sign you up. Let me see now that's the wire walker service right?",0,1,0
Problem Investigation,"Alright wonderful and just let me know what you have your AT&T app for.",0,1,0
Problem Investigation,"I can see here that you did a payment of 10000 bases last February 19th and that was three days ago with a credit card and it seems like your problem needs a permission authorized by my supervisor will you be able to hold the call for a minute ma'am?",0,0,1
Problem Investigation,"I understand you said you are getting an unknown error correct?",0,1,0
Problem Investigation,"What kind of error?",0,1,0
Problem Investigation,"Ok let me see here on my system to understand what is your problem. Sir, this is weird it says here that you have a hiporonary ccp router and it doesn't really require a configuration process to install, have you recently updated its software?",0,1,0
Problem Investigation,"Ok, did you try by rebooting the router?",0,1,0
Problem Investigation,"thank you and just to clarify when you said the printer is not working do you mean it's not turning on?do you see any error message or you can't print from your computer",1,1,0
Problem Investigation,"ok to make sure this is not a printer problem we will do a copy test you have to photocopy any document and sure it's colored if the output is perfect that means the printer is good",0,1,0
Problem Investigation,"ok what seems to be a problem sir",1,0,0
Problem Investigation,"oh I'm so sorry about that if you could give me the pick up time and location we can get this settled for you",0,1,1
Problem Investigation,"I totally understand and we're truly sorry I'll have someone there as soon as possible what time was the pickup",0,1,1
Problem Investigation,"okay letme see if I can help you do you have the item number of the parker scarf",1,1,0
Problem Investigation,"excellent okay what color did you want the New Yorker",1,1,0
Problem Investigation,"did you want navy blue or royal blue",1,1,0
Problem Investigation,"mr. Johnson do you have the Parker scarf in light blue with you now",1,1,0
Problem Investigation,"and you said there's a leak coming through your kitchen ceiling",1,1,0
Problem Investigation,"okay great I have located you in our system and you purchased the model numbers 23 0 87 which has been recalled",1,0,0
Problem Investigation,"and are you currently located in the Philadelphia area or are you near one of our national locations",1,1,0
Problem Investigation,"okay what type of truck are you looking for to have for the move",1,1,0
Problem Investigation,"and what date are you looking to move",1,1,0
Problem Investigation,"did you receive a mailer from us?",1,1,0
Problem Investigation,"thank you and the year making model of your vehicle",1,1,0
Problem Investigation,"thank you let's see counselor Smith's early availability is on Friday at 8:00 a.m",1,0,0
Problem Investigation,"thank you for that information per our system's data you did pay your bill last august 12 which was two days ago however the bill that you received was generated a week ago before you made the payment that is why your last payment had not been reflected you can simply disregard it",1,1,0
Problem Investigation,"What sort of trouble?",1,0,0
Problem Investigation,"Are you in front of your PC right now",1,1,0
Problem Investigation,"Do you have any previous bill with you madam?",1,1,0
Problem Investigation,"Can you check the date of the bill?",1,1,0
Problem Investigation,"Agent: Ok",0,0,0
Problem Investigation,"can you check for me which lights are lit up on your modem.",1,1,0
Problem Investigation,"the DSL light is flashing red on your modem. That means that you are not getting any dsl signal. The good thing is",1,0,0
Problem Investigation,"don't worry Laura I will help you resolve it so you cannot complete your booking even if you already refresh the page you also have a strong internet connection and you also double-check your payment method details does it show you any error message",1,1,0
Problem Investigation,"are your apps automatically updated",1,1,0
Problem Investigation,"oh but have you updated our software into its latest version",1,1,0
Problem Investigation,"thank you for the information what flowers do you want to purchase",1,1,0
Problem Investigation,"okay thank you for that mrs. Blake what exactly do you want to do with your headset",1,1,0
Problem Investigation,"okay ma'am I may get your headsets model name and number as well as the model of your phone",1,1,0
Problem Investigation,"okay ma'am so have you tried pairing it with your headset with your phone",1,1,0
Problem Investigation,"ok and what seems to be a problem today",1,0,0
Problem Investigation,"ok and what kind of system you have",1,1,0
Problem Investigation,"ok according to my records the amstar700 is a voiceover internet protocol phone that is appear that becuase your internet is not working your phonr is not working as well",1,0,0
Problem Investigation,"thanlks let's me just check on it",0,0,0
Problem Investigation,"Let me take a look at your recent payments and identify the cause of the problem",1,1,0
Problem Investigation,"Let me review the transactions and see what went wrong",1,1,0
Problem Investigation,"Let me check your account and see if I can find a discrepancy in the transaction",1,1,0
Problem Investigation,"Let me review your case and I’ll get back to you with an update shortly",1,0,0
